"date","symbol","exchange","price_usd","daily_open_usd","daily_high_usd","daily_low_usd","volume","change_percent","date_time_utc","pk_dummy","pkey"
"2019-10-18","DASH","HitBTC",6790,6888,6913,6688,517,-1.42,"2019-10-18 00:00:00","2019-10-18 00","2019-10-18 00DASH"
"2019-10-17","DASH","HitBTC",6888,6803,7034,6720,618,1.22,"2019-10-17 00:00:00","2019-10-17 00","2019-10-17 00DASH"
"2019-10-16","DASH","HitBTC",6805,7136,7153,6683,1254,-4.64,"2019-10-16 00:00:00","2019-10-16 00","2019-10-16 00DASH"
"2019-10-15","DASH","HitBTC",7136,7114,7339,7050,865,0.32,"2019-10-15 00:00:00","2019-10-15 00","2019-10-15 00DASH"
"2019-10-14","DASH","HitBTC",7113,7053,7153,7000,472,0.85,"2019-10-14 00:00:00","2019-10-14 00","2019-10-14 00DASH"
"2019-10-13","DASH","HitBTC",7053,7059,7180,7029,669,-0.1,"2019-10-13 00:00:00","2019-10-13 00","2019-10-13 00DASH"
"2019-10-12","DASH","HitBTC",7060,6931,7324,6931,1038,1.69,"2019-10-12 00:00:00","2019-10-12 00","2019-10-12 00DASH"
"2019-10-11","DASH","HitBTC",6943,7242,7361,6936,878,-4.34,"2019-10-11 00:00:00","2019-10-11 00","2019-10-11 00DASH"
"2019-10-10","DASH","HitBTC",7257,7363,7431,7052,1348,-1.43,"2019-10-10 00:00:00","2019-10-10 00","2019-10-10 00DASH"
"2019-10-09","DASH","HitBTC",7363,7072,7468,7033,2175,3.98,"2019-10-09 00:00:00","2019-10-09 00","2019-10-09 00DASH"
"2019-10-08","DASH","HitBTC",7081,7074,7396,7011,1628,0.06,"2019-10-08 00:00:00","2019-10-08 00","2019-10-08 00DASH"
"2019-10-07","DASH","HitBTC",7076,6948,7192,6817,1481,1.97,"2019-10-07 00:00:00","2019-10-07 00","2019-10-07 00DASH"
"2019-10-06","DASH","HitBTC",6940,6980,7085,6793,1414,-0.58,"2019-10-06 00:00:00","2019-10-06 00","2019-10-06 00DASH"
"2019-10-05","DASH","HitBTC",6980,6944,6997,6860,1041,0.51,"2019-10-05 00:00:00","2019-10-05 00","2019-10-05 00DASH"
"2019-10-04","DASH","HitBTC",6945,6939,7005,6818,1066,0.08,"2019-10-04 00:00:00","2019-10-04 00","2019-10-04 00DASH"
"2019-10-03","DASH","HitBTC",6939,7035,7069,6797,760,-1.36,"2019-10-03 00:00:00","2019-10-03 00","2019-10-03 00DASH"
"2019-10-02","DASH","HitBTC",7035,7005,7044,6896,843,0.42,"2019-10-02 00:00:00","2019-10-02 00","2019-10-02 00DASH"
"2019-10-01","DASH","HitBTC",7005,7083,7241,6923,989,-0.99,"2019-10-01 00:00:00","2019-10-01 00","2019-10-01 00DASH"
"2019-09-30","DASH","HitBTC",7075,6888,7193,6668,686,2.75,"2019-09-30 00:00:00","2019-09-30 00","2019-09-30 00DASH"
"2019-09-29","DASH","HitBTC",6886,7081,7127,6742,884,-3.41,"2019-09-29 00:00:00","2019-09-29 00","2019-09-29 00DASH"
"2019-09-28","DASH","HitBTC",7129,7128,7197,6982,954,0.01,"2019-09-28 00:00:00","2019-09-28 00","2019-09-28 00DASH"
"2019-09-27","DASH","HitBTC",7128,6859,7212,6710,1392,3.92,"2019-09-27 00:00:00","2019-09-27 00","2019-09-27 00DASH"
"2019-09-26","DASH","HitBTC",6859,7237,7328,6591,1923,-5.23,"2019-09-26 00:00:00","2019-09-26 00","2019-09-26 00DASH"
