"Name","Price","Spread","Depth","ExchangeBidDepth","ExchangeAskDepth","Exchange","Date","DateTime","pkDummy"
"Jarvis+",0.0010865,0.83,1606,3382023,2813670,"KuCoin","2020-04-21","2020-04-21 18:01:36","2020-04-21 18"
"Dero",0.35304,2.88,1601,3382023,2813670,"KuCoin","2020-04-21","2020-04-21 18:01:37","2020-04-21 18"
"Blockcloud",0.00011915,3.11,1592,3382023,2813670,"KuCoin","2020-04-21","2020-04-21 18:01:37","2020-04-21 18"
"Enecuum",0.006665,8.55,1541,3382023,2813670,"KuCoin","2020-04-21","2020-04-21 18:01:37","2020-04-21 18"
"THEKEY",0.0002135,2.34,1476,3382023,2813670,"KuCoin","2020-04-21","2020-04-21 18:01:37","2020-04-21 18"
"VideoCoin",0.060105,0.12,1292,3382023,2813670,"KuCoin","2020-04-21","2020-04-21 18:01:38","2020-04-21 18"
"NOIA Network",0.0043355,5.33,1158,3382023,2813670,"KuCoin","2020-04-21","2020-04-21 18:01:40","2020-04-21 18"
"EOS Force",0.0020895,1.58,1117,3382023,2813670,"KuCoin","2020-04-21","2020-04-21 18:01:40","2020-04-21 18"
"NEM",0.035582,2.57,925.3,3382023,2813670,"KuCoin","2020-04-21","2020-04-21 18:01:40","2020-04-21 18"
"Akropolis",0.00093575,1.14,802.3,3382023,2813670,"KuCoin","2020-04-21","2020-04-21 18:01:40","2020-04-21 18"
"MultiVAC",0.0001824,4.71,778.9,3382023,2813670,"KuCoin","2020-04-21","2020-04-21 18:01:41","2020-04-21 18"
"Bolt",0.0009985,1.9,678.4,3382023,2813670,"KuCoin","2020-04-21","2020-04-21 18:01:41","2020-04-21 18"
"Amino Network",0.015715,1.34,642.9,3382023,2813670,"KuCoin","2020-04-21","2020-04-21 18:01:41","2020-04-21 18"
"Dapp Token",0.0003872,1.03,599.6,3382023,2813670,"KuCoin","2020-04-21","2020-04-21 18:01:41","2020-04-21 18"
"Lympo",0.00122,7.21,559,3382023,2813670,"KuCoin","2020-04-21","2020-04-21 18:01:41","2020-04-21 18"
"#MetaHash",0.002246,0.27,449.4,3382023,2813670,"KuCoin","2020-04-21","2020-04-21 18:01:42","2020-04-21 18"
"Wirex Token",0.0097935,0.11,428.7,3382023,2813670,"KuCoin","2020-04-21","2020-04-21 18:01:42","2020-04-21 18"
"BetProtocol",0.0010584,0.99,401.5,3382023,2813670,"KuCoin","2020-04-21","2020-04-21 18:01:42","2020-04-21 18"
"ROAD",0.03147,1.21,398.6,3382023,2813670,"KuCoin","2020-04-21","2020-04-21 18:01:42","2020-04-21 18"
"Volume Network",0.002848,1.83,380.8,3382023,2813670,"KuCoin","2020-04-21","2020-04-21 18:01:42","2020-04-21 18"
"Kambria",0.000576,1.39,256.6,3382023,2813670,"KuCoin","2020-04-21","2020-04-21 18:01:43","2020-04-21 18"
