"Date","Symbol","Open","High","Low","Close","VolumeUSDT","CloseLag1Hour","CloseLag12Hour","CloseLag24Hour","CloseLag3Day","CloseLag7Day","CloseLag14Day","CloseLag30Day","CloseLag90Day","CloseLag120Day","Volatility","Target24HourClose","DateTime"
2018-06-08,"ETH",602,604.24,601.51,602.4,1012824.04,602,602.49,609.64,588.05,584.49,592.77,731,723.86,781.66,0.453857791225419,605.57,"2018-06-08 09:00:00"
2018-06-08,"ETH",602.4,602.4,595.51,597,2630638.57,602.4,602.68,607.99,588.97,584.69,588,742,726.03,781.66,1.15699148628906,605.65,"2018-06-08 10:00:00"
2018-06-08,"ETH",597,599.02,595.1,596.56,1487013.64,597,605.16,607.6,587.02,570.63,597.57,743.96,730.65,781.66,0.658712821374552,605.1,"2018-06-08 11:00:00"
2018-06-08,"ETH",605.16,608.45,603.49,608.06,1157106.76,596.56,609.38,615.15,594.93,580.61,594.84,741,733.5,781.66,0.821886029594531,602.38,"2018-06-08 12:00:00"
2018-06-08,"ETH",595.54,598.97,594,597.64,825131.54,608.06,606.21,608.25,584.72,575.75,600.4,745,723.08,781.66,0.836700336700341,599.65,"2018-06-08 13:00:00"
2018-06-08,"ETH",597.64,597.83,593.33,596.2,1524175.14,597.64,605.37,606.32,585.9,575.81,595.75,749.16,736.29,781.66,0.758431227141725,600.97,"2018-06-08 14:00:00"
2018-06-08,"ETH",596.2,600.57,593.39,599.93,2058500.95,596.2,601.25,605.9,600.12,576.31,598.99,748.67,731.02,781.66,1.20999679805862,602.32,"2018-06-08 15:00:00"
2018-06-08,"ETH",599.93,602.94,598.58,601,1790260.38,599.93,602.63,611,606.37,572.57,594.96,751,732.7,781.66,0.728390524240705,599.5,"2018-06-08 16:00:00"
2018-06-08,"ETH",601,601.98,599.13,600.67,904950.64,601,604,607.86,609.94,568.02,586.29,752.25,713.6,781.66,0.475689750137703,598.6,"2018-06-08 17:00:00"
2018-06-08,"ETH",600.67,601.61,598.51,598.53,747724.11,600.67,606.31,607.25,611.44,566.99,581.96,749.72,710.65,781.66,0.517952916409086,600.2,"2018-06-08 18:00:00"
2018-06-08,"ETH",598.53,599.71,595.64,597.79,739104.24,598.53,600.13,606.52,607.24,572.23,580.84,750.09,711.7,781.66,0.683298636760468,599.67,"2018-06-08 19:00:00"
2018-06-08,"ETH",597.79,599.46,596.53,598.79,561357.38,597.79,602,603.5,609.26,567.03,583.93,745.34,688.99,781.66,0.491173956045809,600.29,"2018-06-08 20:00:00"
2018-06-08,"ETH",598.79,600.58,597.39,599.71,302321.27,598.79,602.4,602.49,603.98,570.12,582,749,680.55,781.66,0.533989521083388,599.14,"2018-06-08 21:00:00"
2018-06-08,"ETH",599.71,602.77,599.71,601.62,639717.73,599.71,597,602.68,611.17,579.41,573.03,750.91,687.21,781.66,0.510246619199271,597.08,"2018-06-08 22:00:00"
2018-06-08,"ETH",601.62,602.44,598.41,598.68,640203.57,601.62,596.56,605.16,609.05,579,585.55,751.75,680.58,781.66,0.673451312645191,592.87,"2018-06-08 23:00:00"
2018-06-08,"ETH",596.56,597.61,594.99,595.54,905115.66,598.68,608.06,609.38,588.11,575.01,605.21,748.19,724.77,781.66,0.440343535185466,601.48,"2018-06-09 00:00:00"
2018-06-09,"ETH",602.38,605.84,601.92,605.51,976079.31,595.54,597.64,606.21,609.06,578.71,587.5,756,673,781.66,0.651249335459874,577.98,"2018-06-09 01:00:00"
